FDATETIME,AREANAME,CUST_ID,CUST_NAME,AREA_ID,FSTREAMID,FDVC,FP,FT
2021-04-01 00:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,18.0,3.1154,24.07
2021-04-01 01:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,33.0,3.0826,23.85
2021-04-01 02:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,64.0,3.0297,23.52
2021-04-01 03:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,58.0,2.9385,23.06
2021-04-01 04:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,26.0,2.9585,23.31
2021-04-01 05:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,51.0,3.0389,23.61
2021-04-01 06:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,64.0,2.9802,23.45
2021-04-01 07:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,40.0,2.9394,23.44
2021-04-01 08:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,10.0,2.9956,23.98
2021-04-01 09:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,60.0,3.1349,25.04
2021-04-01 10:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,10.0,2.962,24.94
2021-04-01 11:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,18.0,3.1346,27.48
2021-04-01 12:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,14.0,3.0795,29.11
2021-04-01 13:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,22.0,3.1118,30.6
2021-04-01 14:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,21.0,3.0523,31.79
2021-04-01 15:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,18.0,3.0634,31.9
2021-04-01 16:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,42.0,3.0685,32.14
2021-04-01 17:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,56.0,3.0231,31.43
2021-04-01 18:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,28.0,2.9298,27.75
2021-04-01 19:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,40.0,3.0607,26.9
2021-04-01 20:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,10.0,3.0401,26.06
2021-04-01 21:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,14.0,3.1381,26.1
2021-04-01 22:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,83.0,3.1198,25.91
2021-04-01 23:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,14.0,2.9112,24.46
2021-04-02 00:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,17.0,3.0998,24.68
2021-04-02 01:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,90.0,3.0864,24.79
2021-04-02 02:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,63.0,2.885,23.92
2021-04-02 03:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,18.0,2.9513,23.83
2021-04-02 04:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,35.0,3.0683,24.21
2021-04-02 05:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,21.0,3.0102,23.84
2021-04-02 06:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,50.0,3.0787,23.94
2021-04-02 07:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,28.0,2.9568,23.6
2021-04-02 08:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,18.0,3.0429,24.31
2021-04-02 09:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,12.0,3.0678,25.78
2021-04-02 10:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,16.0,3.0977,28.3
2021-04-02 11:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,17.0,3.0841,32.63
2021-04-02 12:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,11.0,3.0802,34.9
2021-04-02 13:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,22.0,3.1049,34.87
2021-04-02 14:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,11.0,3.052,36.23
2021-04-02 15:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,48.0,3.0965,37.91
2021-04-02 16:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,60.0,2.9975,34.5
2021-04-02 17:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,19.0,2.9446,32.17
2021-04-02 18:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,26.0,3.0334,30.84
2021-04-02 19:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,11.0,3.0446,29.05
2021-04-02 20:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,8.0,3.1656,28.75
2021-04-02 21:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,39.0,3.3034,28.22
2021-04-02 22:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,50.0,2.9738,26.61
2021-04-02 23:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,65.0,2.8882,25.22
2021-04-03 00:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,9.0,2.8894,24.7
2021-04-03 01:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,27.0,3.1425,25.49
2021-04-03 02:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,77.0,3.0973,25.41
2021-04-03 03:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,41.0,2.8721,23.17
2021-04-03 04:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,17.0,3.0285,22.93
2021-04-03 05:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,9.0,3.212,23.07
2021-04-03 06:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,16.0,3.2962,23.17
2021-04-03 07:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,12.0,3.2076,22.98
2021-04-03 08:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,18.0,3.262,23.17
