FDATETIME,AREANAME,CUST_ID,CUST_NAME,AREA_ID,FSTREAMID,FDVC,FP,FT
2021-01-01 00:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,48.0,3.0775,24.19
2021-01-01 01:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,27.0,3.0485,23.85
2021-01-01 02:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,8.0,3.1358,23.76
2021-01-01 03:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,23.0,3.1665,24.11
2021-01-01 04:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,8.0,3.0763,23.64
2021-01-01 05:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1601,23.86
2021-01-01 06:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,25.0,3.1881,23.87
2021-01-01 07:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.0634,23.51
2021-01-01 08:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,7.0,3.1883,24.93
2021-01-01 09:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,7.0,3.1698,27.66
2021-01-01 10:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,35.0,3.1767,30.06
2021-01-01 11:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,15.0,2.9624,31.63
2021-01-01 12:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,7.0,3.093,32.46
2021-01-01 13:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1759,30.7
2021-01-01 14:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,8.0,3.1752,30.86
2021-01-01 15:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1598,29.94
2021-01-01 16:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,17.0,3.1821,27.88
2021-01-01 17:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,50.0,3.1166,27.38
2021-01-01 18:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,5.0,2.9045,25.53
2021-01-01 19:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1922,25.57
2021-01-01 20:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.189,25.4
2021-01-01 21:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1942,25.07
2021-01-01 22:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1913,24.75
2021-01-01 23:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1881,24.57
2021-01-02 00:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,24.0,3.1881,24.4
2021-01-02 01:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,9.0,3.073,23.99
2021-01-02 02:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.151,23.71
2021-01-02 03:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1851,23.94
2021-01-02 04:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,7.0,3.1784,23.86
2021-01-02 05:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1812,23.69
2021-01-02 06:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,7.0,3.1828,23.45
2021-01-02 07:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,7.0,3.1755,23.5
2021-01-02 08:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,29.0,3.1713,24.58
2021-01-02 09:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,26.0,3.0364,26.44
2021-01-02 10:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.0591,28.32
2021-01-02 11:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,6.0,3.1772,31.54
2021-01-02 12:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,8.0,3.1624,34.4
2021-01-02 13:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,7.0,3.1354,36.49
2021-01-02 14:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,20.0,3.1631,37.57
2021-01-02 15:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,12.0,3.0802,37.64
2021-01-02 16:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,5.0,3.1327,36.78
2021-01-02 17:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.2175,35.74
2021-01-02 18:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4107,34.53
2021-01-02 19:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4134,32.84
2021-01-02 20:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4177,31.4
2021-01-02 21:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4169,30.33
2021-01-02 22:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4193,29.48
2021-01-02 23:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4231,28.71
2021-01-03 00:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4246,28.11
2021-01-03 01:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.425,27.61
2021-01-03 02:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4253,27.16
2021-01-03 03:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4261,26.72
2021-01-03 04:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4245,26.23
2021-01-03 05:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4261,25.83
2021-01-03 06:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.427,25.66
2021-01-03 07:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4271,25.63
2021-01-03 08:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4297,26.28
2021-01-03 09:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4146,28.36
2021-01-03 10:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.3946,31.21
2021-01-03 11:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.3872,34.2
2021-01-03 12:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.3788,37.44
2021-01-03 13:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.3555,39.87
2021-01-03 14:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.3714,40.37
2021-01-03 15:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.3689,36.38
2021-01-03 16:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4134,28.37
2021-01-03 17:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4196,26.83
2021-01-03 18:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4228,26.07
2021-01-03 19:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4245,25.61
2021-01-03 20:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.427,25.21
2021-01-03 21:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4273,24.97
2021-01-03 22:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4261,24.77
2021-01-03 23:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4271,24.64
2021-01-04 00:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.428,24.55
2021-01-04 01:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4268,24.4
2021-01-04 02:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4266,24.28
2021-01-04 03:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.426,24.17
2021-01-04 04:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4273,24.05
2021-01-04 05:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,0.0,3.4268,23.99
2021-01-04 06:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,17.0,3.4245,23.96
2021-01-04 07:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,12.0,3.1237,23.33
2021-01-04 08:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,120.0,3.1425,24.81
2021-01-04 09:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,125.0,2.8986,26.37
2021-01-04 10:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,109.0,2.8885,27.29
2021-01-04 11:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,72.0,2.93,28.51
2021-01-04 12:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,37.0,2.9501,30.32
2021-01-04 13:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,59.0,3.0022,32.91
2021-01-04 14:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,13.0,2.98,34.1
2021-01-04 15:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,22.0,3.093,34.75
2021-01-04 16:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,11.0,3.0364,33.75
2021-01-04 17:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,51.0,3.1067,32.52
2021-01-04 18:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,64.0,2.9781,30.1
2021-01-04 19:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,10.0,2.9597,26.64
2021-01-04 20:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,44.0,3.1173,27.08
2021-01-04 21:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,68.0,3.0037,26.19
2021-01-04 22:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,41.0,2.9239,25.03
2021-01-04 23:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,60.0,3.0314,24.68
2021-01-05 00:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,11.0,2.9741,24.4
2021-01-05 01:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,59.0,3.1027,24.43
2021-01-05 02:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,27.0,2.9881,23.85
2021-01-05 03:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,19.0,3.0189,23.73
2021-01-05 04:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,50.0,3.0592,23.69
2021-01-05 05:00:00,Bekasi,0130252691,"ARISTEK HIGHPOLYMER, PT",013,1,36.0,2.9446,23.29
