FDATETIME,AREANAME,CUST_ID,CUST_NAME,AREA_ID,FSTREAMID,FDVC,FP,FT
2021-01-01 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.844,26.81
2021-01-01 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.7931,26.87
2021-01-01 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.7822,26.95
2021-01-01 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8567,27.01
2021-01-01 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.9108,27.05
2021-01-01 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,3.56,1.9429,26.98
2021-01-01 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,6.14,1.7483,26.89
2021-01-01 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,6.95,1.7053,26.86
2021-01-01 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,23.93,1.7045,27.1
2021-01-01 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,39.13,1.6983,27.72
2021-01-01 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,34.26,1.6949,28.84
2021-01-01 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,38.39,1.6946,29.45
2021-01-01 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,33.79,1.6943,29.49
2021-01-01 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,33.8,1.6944,29.39
2021-01-01 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,34.35,1.6944,29.27
2021-01-01 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,28.97,1.6949,28.68
2021-01-01 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,35.02,1.6953,28.29
2021-01-01 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,33.43,1.6943,28.28
2021-01-01 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,28.19,1.6946,28.35
2021-01-01 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,5.64,1.6971,28.34
2021-01-01 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.71,28.06
2021-01-01 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.757,27.82
2021-01-01 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8631,27.68
2021-01-01 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.9079,27.65
2021-01-02 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8186,27.6
2021-01-02 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.7802,27.54
2021-01-02 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.7587,27.49
2021-01-02 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8188,27.45
2021-01-02 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.16,1.8688,27.37
2021-01-02 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,3.88,1.8391,27.21
2021-01-02 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,5.01,1.7067,27.02
2021-01-02 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.87,1.7069,26.98
2021-01-02 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,20.85,1.7028,27.27
2021-01-02 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,39.77,1.6983,27.9
2021-01-02 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,38.42,1.6954,28.9
2021-01-02 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,37.43,1.6946,29.32
2021-01-02 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,37.86,1.6943,29.55
2021-01-02 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,33.06,1.6934,29.73
2021-01-02 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,34.75,1.6929,29.95
2021-01-02 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,29.37,1.6912,30.13
2021-01-02 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,31.46,1.6926,30.17
2021-01-02 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,33.41,1.6926,29.94
2021-01-02 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,27.43,1.6933,29.68
2021-01-02 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,3.37,1.6968,29.48
2021-01-02 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.16,1.709,29.34
2021-01-02 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.7549,29.22
2021-01-02 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8564,29.07
2021-01-02 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.9031,28.92
2021-01-03 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.9036,28.77
2021-01-03 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8004,28.64
2021-01-03 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8002,28.53
2021-01-03 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8391,28.4
2021-01-03 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.8715,28.25
2021-01-03 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,4.67,1.8351,28.14
2021-01-03 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,5.32,1.7059,28.06
2021-01-03 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,9.64,1.708,28.02
2021-01-03 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,18.41,1.7028,28.21
2021-01-03 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,39.51,1.6986,28.63
2021-01-03 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,36.54,1.6939,29.41
2021-01-03 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,34.9,1.6939,30.14
2021-01-03 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,35.32,1.6931,30.57
2021-01-03 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,34.41,1.6919,30.82
2021-01-03 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,30.54,1.6928,30.51
2021-01-03 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,29.14,1.6943,29.95
2021-01-03 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,31.55,1.6944,29.64
2021-01-03 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,30.64,1.6948,29.44
2021-01-03 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,23.99,1.6958,29.24
2021-01-03 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,6.12,1.6991,29.01
2021-01-03 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.32,1.7104,28.79
2021-01-03 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,0.0,1.7381,28.62
